id,pubmed_id,count,seq_num
194,26867177,554,178637
470,12885899,554,120657
153,28919118,553,24877
228,32222812,553,190625
459,22278237,548,85040
430,32320677,547,173184
164,32161990,546,158191
162,26123479,544,35544
377,32292689,543,229215
8,14681510,542,115079
489,18423196,542,177490
494,32305533,542,151977
30,28659436,540,104391
263,12671061,540,115688
312,32294485,540,216396
441,32376634,540,245308
37,31971553,538,78133
163,32114094,536,203527
185,32442528,536,145831
372,32302935,536,157899
394,18264110,534,51320
86,32057769,533,195540
408,32444366,533,137157
17,14502271,528,6244
94,32199493,528,198032
70,12766207,527,113361
210,32219363,526,33019
499,32265220,524,162115
208,23390923,523,77469
319,16816138,523,124056
250,32292899,521,249222
417,32145190,518,8328
22,27748397,517,25335
68,12781536,517,134504
264,32240762,517,127284
378,9233431,517,147362
215,23678167,516,27946
38,32353347,515,127911
363,32325383,513,176323
435,32401715,513,168305
118,32218527,512,89245
354,19822627,512,48950
179,32381264,511,150786
390,32224151,511,174474
224,32327202,510,169319
159,32284613,508,237061
355,16968120,508,223125
445,20592747,508,6227
41,32166607,506,127621
485,32220655,505,130814
393,32303591,504,21302
26,32240123,503,250834
177,8608598,502,120854
76,32202343,501,162800
240,16192482,499,123879
305,31981224,499,241710
351,16323269,497,180789
448,32203188,497,275701
3,32267220,496,141386
334,18565953,496,46721
99,32253759,492,230398
150,32007643,491,198082
287,32104917,489,186043
294,32234805,489,163480
327,23170002,489,168466
90,24988558,488,97565
368,32047895,488,169343
323,32291463,486,261551
411,32044814,485,148711
447,12671062,485,124773
9,32198501,484,197162
78,32251717,484,160688
136,32287140,484,251282
385,15567015,484,124594
498,32661059,484,227643
44,32065055,483,197968
291,22328912,482,240880
36,32283003,481,23840
180,14585636,481,145766
420,14592603,481,169631
15,32398876,480,78981
252,32251768,480,215819
155,15241422,479,249657
31,32046819,477,161598
384,32105090,477,54504
436,32293639,477,104790
307,29511076,476,178988
202,15577937,475,256925
20,18049472,473,268994
199,19380115,473,134554
280,32376901,473,276435
468,19564631,473,110034
204,32200663,472,91722
309,25106063,472,74202
161,32361250,471,214389
139,32355299,470,57433
140,32335169,470,235975
444,17301785,470,271483
463,15325588,470,164909
6,15324539,469,252680
364,32142785,469,221565
217,32228035,468,158465
35,32269068,467,233561
132,18495771,466,63743
446,32275295,466,44698
289,16081529,465,118383
101,32199469,463,257396
49,32105638,462,8151
59,31133031,460,234148
219,32205856,460,181064
21,32273591,459,29139
359,12859895,459,116762
442,28382917,459,193931
482,26934220,459,199226
487,32362390,459,138527
493,16497584,459,196015
491,24130481,458,221522
465,21220454,457,487
467,32105304,457,104237
98,24283226,456,60506
242,32212516,456,40931
218,26049252,455,148262
143,10725411,454,119555
389,12748632,454,274576
428,32222466,454,239256
454,32183901,454,222519
343,32146694,453,194325
387,32555388,453,266075
395,19536255,450,12634
66,33378609,449,239847
53,32398875,448,89170
158,16914034,447,158430
246,32302265,447,210641
249,32147628,447,24194
56,32109011,446,203290
64,32178975,446,195080
128,32298802,446,159342
475,32264791,446,250718
193,32245784,445,182027
244,32032529,445,217300
16,32127517,444,151446
232,18953034,443,246
257,32228363,443,217360
211,32702298,442,245659
220,32134116,442,140693
374,18798692,442,236237
157,32213647,439,240503
165,32052841,438,218240
402,32371934,438,46880
178,32454513,437,87270
260,32085839,437,182238
114,15791205,436,205503
317,31978293,436,64271
362,19688045,435,92986
391,32402155,435,205734
431,12917450,435,116027
270,32226294,433,152852
457,19521399,433,185157
183,27562956,432,113864
347,32358202,432,239029
381,23817233,432,146362
192,14585926,430,126482
310,26615191,430,2082
302,26886976,429,2261
328,32211820,429,172556
301,32171193,427,109925
314,32271728,427,265566
122,32356627,426,209392
198,20660197,425,42357
346,32194980,425,157446
486,32215618,425,10591
166,16339739,424,119690
123,22371588,423,30915
209,16641297,423,115624
429,12781533,423,159503
84,32269088,422,158129
350,32220208,422,181463
365,21124449,422,230849
247,32356628,421,237883
290,29161116,421,72290
300,12743065,421,124352
361,15141376,420,224636
492,32492293,419,234990
481,32174129,418,68754
13,32282863,417,207086
39,32179137,417,217934
203,32283124,416,195088
476,8094770,416,9498
48,32392282,415,23194
258,19651891,415,276
102,32411652,413,139346
409,32052514,411,251880
452,17507975,411,198913
490,18568847,411,105909
497,15884975,411,258468
54,32512579,410,101238
184,25428506,410,78342
88,32272080,408,234748
168,32369666,407,219172
337,32505227,406,156526
418,32317267,406,204217
134,32203189,405,243829
175,12766206,404,124421
455,18762209,404,164679
329,20965417,401,158382
304,32374370,400,35668
